Id,ItemName,Vegan,Vegetarian,Halal,NutFree,GlutenFree,LactoseFree,LastUpdated,Brand,Calories,Barcode,Depth,ExtraInfo
100000,Cadbury Heroes Chocolate Gift Box 290g,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,31st December 2025,Cadbury,1403,,,"MAY CONTAIN PEANUTS, NUTS AND WHEAT"
100001,Cadbury Milk Tray Chocolate 445g,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1st January 2026,Cadbury,2331,,,"MAY CONTAIN NUTS"
100002,Cadbury Milk Tray Chocolate 312g,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1st January 2026,Cadbury,1635,,,"MAY CONTAIN NUTS"
100003,Cadbury Twirl Chocolate Bar Multipack 9 x 21.5g,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1st January 2026,Cadbury,1026,,,"MAY CONTAIN NUTS"
100004,Cadbury Crunchie Chocolate Bar Multipack 7 x 26.1g,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1st January 2026,Cadbury,854,,,"MAY CONTAIN NUTS"
100005,Cadbury Wispa Chocolate Bar Multipack 7 x 23.7g,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1st January 2026,Cadbury,903,,,"MAY CONTAIN NUTS"
100006,Cadbury Double Decker Chocolate Bar Multipack 7 x 37.3g,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1st January 2026,Cadbury,1197,,,"MAY CONTAIN NUTS"
100007,Cadbury Darkmilk Chocolate Giant Buttons Pouch 100g,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1st January 2026,Cadbury,536,,,"MAY CONTAIN NUTS"
100008,Cadbury Crunchie Rocks Chocolate Pouch 100g,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1st January 2026,Cadbury,458,,,"MAY CONTAIN NUTS, WHEAT"
100009,Cadbury Oreo Bites Chocolate Pouch 100g,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1st January 2026,Cadbury,564,,,"MAY CONTAIN NUTS, WHEAT"
100010,Cadbury Twirl Bites Chocolate Pouch 100g,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1st January 2026,Cadbury,500,,,"MAY CONTAIN NUTS, WHEAT"
100011,Cadbury Dairy Milk Caramel Nibbles Chocolate Pouch 100g,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1st January 2026,Cadbury,495,,,"MAY CONTAIN NUTS"
100012,Cadbury Curly Wurly Squirlies Chocolate Pouch 100g,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1st January 2026,Cadbury,455,,,"NOT SUITABLE FOR VEGANS"
100013,Cadbury White Buttons Chocolate Pouch 100g,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1st January 2026,Cadbury,536,,,"MAY CONTAIN NUTS"
100014,Cadbury Bitsa Wispa Chocolate Pouch 100g,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1st January 2026,Cadbury,535,,,"MAY CONTAIN NUTS, WHEAT"
100015,Cadbury Dairy Milk Buttons Chocolate Pouch 100g,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1st January 2026,Cadbury,536,,,"CONTAINS MILK"
